Date/Time,BULKSTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BULKSTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Cooling Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Cooling Energy [J](Hourly) 
 12/07  12:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,65957831.76973513,65957831.76973513,78189623.61065555,0.0,52120509.017897058,0.0,32175789.15781735,0.0,59411668.760752949,0.0 
 12/07  13:00:00,7.2,24.0,15.6,26.7,21.0,24.0,226728149.93053524,0.0,0.0,157859268.37533508,0.0,29134070.729238243,39734810.825961928,47979340.24373904,47979340.24373904,65424769.06051624,0.0,38071474.78058557,0.0,31143355.276435693,0.0,46395068.40482348,0.0 
 12/07  14:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,32894445.476108798,32894445.476108798,53947256.73995241,0.0,26234595.23252408,0.0,28316890.10404001,0.0,37384654.02915838,0.0 
 12/07  15:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,26325929.97822684,26325929.97822684,46726904.1946123,0.0,21060645.233894145,0.0,26296573.692759575,0.0,34231020.44180871,0.0 
 12/07  16:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,29984726.28474497,29984726.28474497,50958496.102442767,0.0,23941404.565650088,0.0,27372502.199631614,0.0,36035851.26669219,0.0 
 12/07  17:00:00,7.2,24.0,15.6,26.7,21.0,24.0,276871317.3186068,0.0,0.0,177591676.9222519,26769000.0,32775829.57039302,39734810.825961928,53510598.07986012,53510598.07986012,68989997.08903076,0.0,42388301.93803196,0.0,31241197.08731421,0.0,50614053.75139211,0.0 
 12/07  18:00:00,7.200000000000003,30.000000000000005,15.600000000000002,26.700000000000004,15.500000000000002,30.000000000000005,110359475.57713127,0.0,0.0,59197225.640750627,32122800.0,14567035.364619121,4472414.5717615089,83901762.37511446,83901762.37511446,69367162.20888855,0.0,65443374.65258928,0.0,0.0,0.0,69915789.22434968,0.0 
 12/07  19:00:00,7.2,30.0,15.6,26.7,15.5,30.0,60703011.18420988,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,5206043.796138224,98399957.72691956,98399957.72691956,81597147.60571669,0.0,76820509.24012104,0.0,2869783.467786721,0.0,79156769.5684724,0.0 
 12/07  20:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,63943177.27938805,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,8446209.891316394,161698909.15517003,161698909.15517003,133600387.03599949,0.0,126334424.10536346,0.0,8762101.564674844,0.0,126018532.43200246,0.0 
 12/07  21:00:00,7.2,30.0,15.6,26.7,15.5,30.0,62120462.80095683,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,6623495.412885179,126848992.73060285,126848992.73060285,105084580.42711637,0.0,99132464.95672712,0.0,7965574.48041489,0.0,97790385.88919607,0.0 
 12/07  22:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,64560725.21629813,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,9063757.828226475,174413943.1980084,174413943.1980084,144036586.15405054,0.0,136327298.84022144,0.0,11908469.312576067,0.0,133482587.35586946,0.0 
 12/07  23:00:00,7.2,30.0,15.6,26.7,15.5,30.0,62531788.0658659,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,7034820.677794237,135172046.79949514,135172046.79949514,112110385.74999437,0.0,105674613.94307706,0.0,10066001.106719293,0.0,102643433.51415095,0.0 
 12/07  24:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,65657509.75296739,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,10160542.364895735,195985410.83985479,195985410.83985479,162149009.37156154,0.0,153229754.43738447,0.0,15120263.627646678,0.0,148270033.17462928,0.0 
 12/08  01:00:00,7.2,30.0,15.6,26.7,15.5,30.0,63573991.67838618,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,8077024.290314522,155588999.16624386,155588999.16624386,129081395.20940271,0.0,121663793.15505041,0.0,12743780.43688133,0.0,116997037.00848031,0.0 
 12/08  02:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,66802318.36993912,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,11305350.981867454,218517384.80473567,218517384.80473567,180801020.0559553,0.0,170874226.36130349,0.0,18031498.015964994,0.0,164148079.32720328,0.0 
 12/08  03:00:00,7.2,30.0,15.6,26.7,15.5,30.0,64189621.09014337,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,8692653.702071708,167694728.55547086,167694728.55547086,139121349.95881368,0.0,131148907.92072958,0.0,14529312.695024187,0.0,125312248.92777315,0.0 
 12/08  04:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,67409942.10248183,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,11912974.714410164,230544379.75525288,230544379.75525288,190724161.90556873,0.0,180296609.83749254,0.0,19761829.24270673,0.0,172447755.3091955,0.0 
 12/08  05:00:00,7.2,30.0,15.6,26.7,15.5,30.0,64570152.08712377,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,9073184.699052109,175204463.61155386,175204463.61155386,145343364.56401665,0.0,137034718.26905487,0.0,15710726.1563822,0.0,130397176.81172662,0.0 
 12/08  06:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,67994775.44969467,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,12497808.061623007,242095020.31189884,242095020.31189884,200242964.6906249,0.0,189343043.6321045,0.0,21308219.972777387,0.0,180532631.7209467,0.0 
 12/08  07:00:00,7.2,30.0,15.6,26.7,21.0,30.0,95231778.21403359,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,39734810.825961928,300887838.31120738,300887838.31120738,250669405.2351802,0.0,236587451.41458396,0.0,81037280.93136,0.0,195017119.38389618,0.0 
 12/08  08:00:00,7.2,24.0,15.6,26.7,21.0,24.0,142227039.21940337,0.0,0.0,78929634.18766754,5353800.0,18208794.2057739,39734810.825961928,261960815.2252193,261960815.2252193,220437211.1937322,0.0,205790879.8484599,0.0,63697538.56922406,0.0,181560290.17990754,0.0 
 12/08  09:00:00,7.2,24.0,15.6,26.7,21.0,24.0,206995741.3836183,0.0,0.0,138126859.82841818,0.0,29134070.729238243,39734810.825961928,227673479.075898,227673479.075898,193483881.67466686,0.0,178838762.9478113,0.0,55377750.40210544,0.0,162927961.4463782,0.0 
 12/08  10:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,200934731.37014298,200934731.37014298,172508934.73001055,0.0,157859550.7338876,0.0,50458190.26471326,0.0,146868309.3698453,0.0 
 12/08  11:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,182977659.09802435,182977659.09802435,158429806.24432118,0.0,143774763.68135,0.0,47327363.053311098,0.0,135914349.52871088,0.0 
 12/08  12:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,171466783.05779249,171466783.05779249,149413186.5213885,0.0,134752405.0670628,0.0,45572350.93705808,0.0,128647003.03067705,0.0 
 12/08  13:00:00,7.2,24.0,15.6,26.7,21.0,24.0,226728149.93053524,0.0,0.0,157859268.37533508,0.0,29134070.729238243,39734810.825961928,170313020.06643159,170313020.06643159,148512873.57750453,0.0,133850015.12717495,0.0,45474158.67200185,0.0,127842805.35584447,0.0 
 12/08  14:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,161461177.6689802,161461177.6689802,141562975.9233871,0.0,126898260.66471857,0.0,43581462.9742306,0.0,122783746.59116058,0.0 
