Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/25  17:00:00,355364035.52991738,0.0,0.0,260526206.68848003,8099400.0,29122315.948799999,57616112.89263735,454868721.0570985,454868721.0570985,103509412.56586707,1411168.691482901,360895549.3056587,0.0 
 01/25  18:00:00,395861035.52991738,0.0,0.0,260526206.68848003,48596400.0,29122315.948799999,57616112.89263735,545470839.5995532,545470839.5995532,150361539.68757696,0.0,432756286.1539651,0.0 
 01/25  19:00:00,305783153.7505575,0.0,0.0,173684137.79232,48596400.0,25886503.0656,57616112.89263734,619182200.4494386,619182200.4494386,196398861.56993307,0.0,491192320.3969884,0.0 
 01/25  20:00:00,305783153.7505575,0.0,0.0,173684137.79232,48596400.0,25886503.0656,57616112.89263735,659316059.4307414,659316059.4307414,228175906.41454209,0.0,523019840.9670406,0.0 
 01/25  21:00:00,273599984.56863746,0.0,0.0,144736781.4936,48596400.0,22650690.1824,57616112.89263735,682334610.228787,682334610.228787,246425996.72435887,0.0,541263007.8992623,0.0 
 01/25  22:00:00,122143043.34624893,0.0,0.0,57894712.59744,48596400.0,12943251.5328,2708679.2160089209,86734353.57617381,86734353.57617381,70693707.49094251,0.0,68692091.98535122,0.0 
 01/25  23:00:00,76818348.06715863,0.0,0.0,14473678.14936,48596400.0,6471625.7664,7276644.1513986219,231529779.81684388,231529779.81684388,189070108.75235457,0.0,183359809.25125934,0.0 
 01/25  24:00:00,78843619.49719869,0.0,0.0,14473678.14936,48596400.0,6471625.7664,9301915.5814387,295496330.2200265,295496330.2200265,240615104.3912418,0.0,234430285.86204995,0.0 
 01/26  01:00:00,80493346.12407257,0.0,0.0,14473678.14936,48596400.0,6471625.7664,10951642.208312575,349201279.25173869,349201279.25173869,283967661.5871483,0.0,276652459.5436138,0.0 
 01/26  02:00:00,81277398.7825546,0.0,0.0,14473678.14936,48596400.0,6471625.7664,11735694.866794602,373472009.02433368,373472009.02433368,303175557.67728868,0.0,296338190.8383963,0.0 
 01/26  03:00:00,82092964.6801252,0.0,0.0,14473678.14936,48596400.0,6471625.7664,12551260.764365208,400765665.56778427,400765665.56778427,325269298.129657,0.0,317527719.26368716,0.0 
 01/26  04:00:00,82847895.03497535,0.0,0.0,14473678.14936,48596400.0,6471625.7664,13306191.119215364,424089264.35528138,424089264.35528138,343582053.7271061,0.0,336517924.7593861,0.0 
 01/26  05:00:00,83297879.08341691,0.0,0.0,14473678.14936,48596400.0,6471625.7664,13756175.167656906,439922011.57550969,439922011.57550969,356408104.00498816,0.0,348565903.1098268,0.0 
 01/26  06:00:00,83327745.78684801,0.0,0.0,14473678.14936,48596400.0,6471625.7664,13786041.871088023,439754008.46926727,439754008.46926727,355942375.0497295,0.0,348953381.15630629,0.0 
 01/26  07:00:00,127157816.80839738,0.0,0.0,14473678.14936,48596400.0,6471625.7664,57616112.89263735,1281279791.0383778,1281279791.0383778,675906823.8079311,0.0,1016329151.0648472,0.0 
 01/26  08:00:00,136553477.02287738,0.0,0.0,57894712.59744,8099400.0,12943251.5328,57616112.89263735,1076407275.6826196,1076407275.6826196,509747083.8881279,0.0,853829045.9401409,0.0 
 01/26  09:00:00,225003584.56863735,0.0,0.0,144736781.4936,0.0,22650690.1824,57616112.89263734,978508732.318906,978508732.318906,428771662.7355012,0.0,776179107.0219277,0.0 
 01/26  10:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263734,861920043.3265984,861920043.3265984,332499787.06949779,0.0,683736625.6963317,0.0 
 01/26  11:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,833075284.4506064,833075284.4506064,302192185.7655943,0.0,660857332.0859246,0.0 
 01/26  12:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263734,808335782.9171406,808335782.9171406,274449616.3628249,0.0,641231152.6593144,0.0 
 01/26  13:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,798319887.6952638,798319887.6952638,263138809.01867707,0.0,633279884.683731,0.0 
 01/26  14:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,775187458.8700165,775187458.8700165,244868818.66762058,0.0,614927014.2790718,0.0 
