Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 12/23  12:00:00,188692455.37789507,0.0,0.0,115789425.19488,0.0,19414877.299200003,53488152.88381505,707838066.9320204,707838066.9320204,259237788.71901018,0.0,561449144.1670511,0.0 
 12/23  13:00:00,253058793.74173508,0.0,0.0,173684137.79232,0.0,25886503.0656,53488152.88381505,610644217.6163578,610644217.6163578,194176774.86689223,0.0,484370427.86313489,0.0 
 12/23  14:00:00,253058793.74173508,0.0,0.0,173684137.79232,0.0,25886503.0656,53488152.88381505,551116495.769724,551116495.769724,161794613.51416625,0.0,437143959.29237768,0.0 
 12/23  15:00:00,253058793.74173508,0.0,0.0,173684137.79232,0.0,25886503.0656,53488152.88381505,513194121.7408215,513194121.7408215,142609575.2692645,0.0,407057689.24665728,0.0 
 12/23  16:00:00,253058793.74173508,0.0,0.0,173684137.79232,0.0,25886503.0656,53488152.88381505,522929830.66812208,522929830.66812208,145020922.922463,0.0,414790138.0307259,0.0 
 12/23  17:00:00,293555793.7417351,0.0,0.0,173684137.79232,40497000.0,25886503.0656,53488152.88381505,581536272.7244563,581536272.7244563,171903799.9681477,0.0,461304477.49045059,0.0 
 12/23  18:00:00,237288855.37789504,0.0,0.0,115789425.19488,48596400.0,19414877.299200003,53488152.88381505,956823310.9394354,956823310.9394354,455202955.0691711,0.0,758914642.9946103,0.0 
 12/23  19:00:00,172922517.0140551,0.0,0.0,57894712.59744,48596400.0,12943251.5328,53488152.88381505,1028338195.8141239,1028338195.8141239,504554215.7483394,0.0,815627574.4720125,0.0 
 12/23  20:00:00,71279428.40453658,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,3355630.930376578,106834122.7479105,106834122.7479105,87321637.59370992,0.0,84629869.87737878,0.0 
 12/23  21:00:00,75872689.30624323,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,7948891.832083227,252973760.43368165,252973760.43368165,206346866.9563947,0.0,200366252.5779209,0.0 
 12/23  22:00:00,77633333.36736852,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,9709535.89320853,308231327.3423853,308231327.3423853,251126747.6377366,0.0,244540064.51407219,0.0 
 12/23  23:00:00,78886152.42635885,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,10962354.952198849,350043069.0942539,350043069.0942539,284261328.3005875,0.0,277326962.7494645,0.0 
 12/23  24:00:00,79393372.52688264,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,11469575.052722633,364752793.1198412,364752793.1198412,296525191.9888467,0.0,289410305.3946016,0.0 
 12/24  01:00:00,81379309.36732298,0.0,0.0,14473678.14936,48596400.0,6471625.7664,11837605.451562982,378436154.03326258,378436154.03326258,306888338.16260579,0.0,299841930.678423,0.0 
 12/24  02:00:00,81457135.70565501,0.0,0.0,14473678.14936,48596400.0,6471625.7664,11915431.789895012,379057825.5354669,379057825.5354669,308037029.82372328,0.0,300775374.0822408,0.0 
 12/24  03:00:00,81721448.60950327,0.0,0.0,14473678.14936,48596400.0,6471625.7664,12179744.693743281,389557338.689352,389557338.689352,315766894.5527783,0.0,308664249.84175828,0.0 
 12/24  04:00:00,81901626.2175941,0.0,0.0,14473678.14936,48596400.0,6471625.7664,12359922.301834107,393390965.8127929,393390965.8127929,319515757.9954404,0.0,312157869.38767156,0.0 
 12/24  05:00:00,82220715.73698291,0.0,0.0,14473678.14936,48596400.0,6471625.7664,12679011.821222904,405853315.4850699,405853315.4850699,328701837.96169939,0.0,321585948.8014158,0.0 
 12/24  06:00:00,82317378.953461,0.0,0.0,14473678.14936,48596400.0,6471625.7664,12775675.037701019,406832192.3120954,406832192.3120954,330234228.71819147,0.0,322829588.06623449,0.0 
 12/24  07:00:00,123029856.79957506,0.0,0.0,14473678.14936,48596400.0,6471625.7664,53488152.88381505,1209341436.6473332,1209341436.6473332,627148102.6813518,0.0,959261822.152829,0.0 
 12/24  08:00:00,140524917.01405508,0.0,0.0,57894712.59744,16198800.0,12943251.5328,53488152.88381505,991530927.2861753,991530927.2861753,457698330.97988978,0.0,786519071.2171029,0.0 
 12/24  09:00:00,220875624.55981497,0.0,0.0,144736781.4936,0.0,22650690.1824,53488152.88381505,853653498.8220759,853653498.8220759,352356371.3575301,0.0,677146298.952236,0.0 
 12/24  10:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,689422039.2121672,689422039.2121672,233726198.54496888,0.0,546901235.2100161,0.0 
 12/24  11:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,600822335.6782762,600822335.6782762,179152085.8877602,0.0,476607786.6833546,0.0 
 12/24  12:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,514954480.39488187,514954480.39488187,126481616.10040951,0.0,408488238.29621329,0.0 
