Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 07/20  09:00:00,90526445.01622917,0.0,25067011.136925509,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631144.8815102,0.0,1631144.8815102,0.0,49988258.19429064,441773.25511194716,0.0,100045448.06629767 
 07/20  10:00:00,93661725.04145226,0.0,28202291.162148566,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631267.8425807425,0.0,1631267.8425807425,0.0,58064246.23543314,453398.8670885774,0.0,108744558.72027764 
 07/20  11:00:00,96139142.52601908,0.0,30679708.64671541,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631282.7853081776,0.0,1631282.7853081776,0.0,65029245.712708059,546403.7629016189,0.0,113949597.10903287 
 07/20  12:00:00,94099698.30196291,0.0,30620283.72729924,32261801.53248001,0.0,15840154.437120002,15377458.605049128,0.000014538461538461542,1631393.464600136,0.0,1631393.464600136,0.0,67182224.72517161,662659.8826679208,0.0,111073053.78693946 
 07/20  13:00:00,97646462.58843525,0.0,32187028.709131574,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,3190525.928921884,0.0,3190525.928921884,0.0,74837245.85635375,627783.0467380303,0.0,116179333.16479346 
 07/20  14:00:00,98404868.3103044,0.0,32945434.43100072,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,72000.0,0.0,72000.0,0.0,79046740.79107678,395270.8072054265,0.0,117312296.8308473 
 07/20  15:00:00,99251189.9508521,0.0,33791756.071548428,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631201.4869203652,0.0,1631201.4869203652,0.0,82940558.45184198,383645.1952287962,0.0,119317543.99310458 
 07/20  16:00:00,99281012.15216407,0.0,33821578.27286039,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631153.8180174314,0.0,1631153.8180174314,0.0,84128819.81029436,511526.92697172836,0.0,120476887.13041544 
 07/20  17:00:00,70652747.83696105,0.0,27451969.63509737,17923223.073600007,0.0,9900096.523200002,15377458.605049128,0.000014538461538461542,1631209.5221507748,0.0,1631209.5221507748,0.0,66190589.89492299,302265.9113923849,0.0,100480805.45843274 
 07/20  18:00:00,56404807.44565768,0.0,22353337.77787401,10753933.844160002,0.0,7920077.218560001,15377458.605049128,0.000014538461538461542,1631141.6979076234,0.0,1631141.6979076234,0.0,51791646.896295879,244137.85150923398,0.0,83714159.20815532 
 07/20  19:00:00,52242036.50438085,0.0,18190566.83659718,10753933.844160002,0.0,7920077.218560001,15377458.605049128,0.000014538461538461542,1631123.8090619185,0.0,1631123.8090619185,0.0,41286329.52653827,174384.1796494528,0.0,69914756.15524307 
 07/20  20:00:00,52708049.68017151,0.0,13943224.627107852,7169289.229440002,8298000.0,7920077.218560001,15377458.605049128,0.000014538461538461542,72000.0,0.0,72000.0,0.0,29817234.020665334,197635.40360271323,0.0,55386209.716643188 
