Date/Time,BULKSTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BULKSTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Cooling Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/14  04:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,86781439.08246869,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,32148797.246360456,942747755.4887259,942747755.4887259,760551968.6239493,0.0,736408685.4267962,0.0,44576469.20334611,0.0,448618575.0839602,0.0 
 01/14  05:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,80822318.55805347,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,26189676.721945224,859263553.3032049,859263553.3032049,693575830.4185129,0.0,671463841.3208425,0.0,51807603.25487548,0.0,344154485.4922584,0.0 
 01/14  06:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,88771544.22541377,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,34138902.38930554,1054267047.8496584,1054267047.8496584,849012511.0548117,0.0,823486264.7984412,0.0,48447860.280513819,0.0,479038345.2679796,0.0 
 01/14  07:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,81712586.0401566,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,27079944.20404837,901809388.093228,901809388.093228,727451594.5192498,0.0,704696775.764376,0.0,53781691.75766635,0.0,357465311.22231408,0.0 
 01/14  08:00:00,7.2,30.0,15.6,26.7,21.0,30.0,96072389.80840913,0.0,0.0,11542082.99495346,13149600.0,3641758.8411547804,67738947.9723009,1108704591.572828,1108704591.572828,894917647.1844497,0.0,867686133.1350069,0.0,123233298.02549654,0.0,521754455.29742828,0.0 
 01/14  09:00:00,7.2,24.0,15.6,26.7,21.0,24.0,86564548.64956391,0.0,0.0,11542082.99495346,0.0,7283517.6823095609,67738947.97230089,1008909564.9511314,1008909564.9511314,821415039.3108343,0.0,789421667.8020082,0.0,106259515.30248635,0.0,466568867.4856815,0.0 
 01/14  10:00:00,7.2,24.0,15.6,26.7,21.0,24.0,110006982.52480832,0.0,0.0,27700999.187888303,0.0,14567035.364619121,67738947.97230089,966655027.5718612,966655027.5718612,788441437.6219702,0.0,756281120.435541,0.0,98979186.87703055,0.0,450828766.1181168,0.0 
 01/14  11:00:00,7.2,24.0,15.6,26.7,21.0,24.0,110006982.52480832,0.0,0.0,27700999.187888303,0.0,14567035.364619121,67738947.97230089,934635657.0165596,934635657.0165596,763794017.4562234,0.0,731212664.2189617,0.0,95245299.53927179,0.0,439116306.3412747,0.0 
 01/14  12:00:00,7.2,24.0,15.6,26.7,21.0,24.0,110006982.52480832,0.0,0.0,27700999.187888303,0.0,14567035.364619121,67738947.97230089,901872000.71472,901872000.71472,738661838.3004897,0.0,705583645.032729,0.0,92310608.70735926,0.0,427569758.0618178,0.0 
 01/14  13:00:00,7.2,24.0,15.6,26.7,21.0,24.0,82922789.80840913,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,67738947.97230089,892016375.4915102,892016375.4915102,731331675.6251233,0.0,697890072.2381436,0.0,92063203.88808146,0.0,422623265.1578967,0.0 
