Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/14  23:00:00,215744906.83645297,0.0,0.0,57110192.35920001,30870000.0,105272514.0,16171944.714081474,433280.724206824,5886975.03896467,420898339.170334,398980222.6377494,11540448.000000002,10377668.532584604,129515906.96005118,5450127.959723897,2927044.746861799,15891036.617690389,305416639.94583049,0.0 
 01/14  24:00:00,219219145.28379537,0.0,0.0,57110192.35920001,30870000.0,105272514.0,16735655.43737907,695444.4129383778,8535339.074277869,468311619.7626225,456699171.7626225,11540448.000000002,72000.0,166632617.79931096,4710463.385327058,2927044.7601821057,18829246.751254318,325673155.95234158,0.0 
 01/15  01:00:00,218100575.36867175,0.0,0.0,57110192.35920001,30870000.0,105272514.0,18286074.820586526,713582.3111547667,5848211.877730455,519930060.3813567,498010142.2733102,11540448.000000002,10379470.108046543,196353860.45920796,2339848.2540827279,2931077.0917114259,15661282.692183363,393634088.2794352,0.0 
 01/15  02:00:00,217141216.49717558,0.0,0.0,57110192.35920001,30870000.0,105272514.0,17120042.729470899,935424.7684493957,5833042.640055257,532546267.16041818,520933819.16041818,11540448.000000002,72000.0,213257793.08053536,1680646.9729214789,2931077.0923449455,15571372.793406852,379810413.74577727,0.0 
 01/15  03:00:00,218740752.93654544,0.0,0.0,57110192.35920001,30870000.0,105272514.0,18807531.92669563,861938.2120197199,5818576.438630088,574303826.5409337,552383687.6147531,11540448.000000002,10379690.926180536,235451363.89388148,1216696.8251221069,2931077.092226359,15485629.875162255,436713249.3381561,0.0 
 01/15  04:00:00,218509874.2657554,0.0,0.0,57110192.35920001,30870000.0,105272514.0,18519412.43473947,1061341.4346255563,5676414.037190315,586636387.455893,575023939.455893,11540448.000000002,72000.0,244291271.8879768,1475295.0270016129,2931077.09231546,14659528.48721702,422780151.4769982,0.0 
 01/15  05:00:00,220569258.35824914,0.0,0.0,57110192.35920001,30870000.0,105272514.0,20042269.901932606,925794.5114343049,6348487.585682198,593991978.5967436,582379530.5967436,11540448.000000002,72000.0,254489044.6124039,1139317.006180495,2931077.092414488,17374006.35052605,460538935.4389514,0.0 
 01/15  06:00:00,218856217.36692996,0.0,0.0,57110192.35920001,30870000.0,105272514.0,18272464.839692076,1102290.2122716103,6228755.955766212,597331385.3156105,575411279.3742209,11540448.000000002,10379657.941389667,255516276.74264706,1388467.3461754856,2931077.0922878535,16752236.753181436,423006019.5752261,0.0 
 01/15  07:00:00,220726290.19174264,0.0,0.0,57110192.35920001,30870000.0,105272514.0,20289217.496979998,928317.723606084,6256048.611956548,582002266.465301,570389818.465301,11540448.000000002,72000.0,258398276.25872929,1077085.305257923,2931077.0924659126,17209977.641647865,452214196.24256929,0.0 
 01/15  08:00:00,197815508.07413636,0.0,0.0,57110192.35920001,10290000.0,105272514.0,18354780.70470787,818492.2262335745,5969528.783994861,488836653.68810787,466916650.51268556,11540448.000000002,10379555.175422257,194789195.9261055,1179165.5169498262,2931077.09217204,16114490.202903612,345191381.5733979,0.0 
 01/15  09:00:00,186376385.42617987,0.0,0.0,57110192.35920001,0.0,105272514.0,17453235.6877209,507690.06140181017,6032753.317857123,389140884.5519614,377528436.5519614,11540448.000000002,72000.0,150445031.89507277,828344.5898706652,4885128.476605328,16471894.999601249,308696856.18789419,0.0 
 01/15  10:00:00,181987824.99287335,0.0,0.0,57110192.35920001,0.0,105272514.0,13064251.207522763,281393.55201278169,6259473.874137769,270443387.2036554,248516577.02857948,11540448.000000002,10386362.175075943,77428369.72768529,11040214.981367328,4885128.383769554,17780856.031601084,192231883.4751423,0.0 
