Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 11/14  12:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,140734470.05703814,140734470.05703814,30916586.802758416,21565636.713342377,109806400.92638533,0.0,46549111.040454898,0.0,123601193.5918796,0.0,5822653.1782708,0.0,7163212.800018168,0.0 
 11/14  13:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,84138921.86685628,84138921.86685628,25024603.785896943,38585678.98991069,65628359.0561479,0.0,38583904.61804497,0.0,88728929.41987646,0.0,5822653.178270788,0.0,5822641.524194664,0.0 
 11/14  14:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,46484887.144065219,46484887.144065219,20751983.98692746,50247096.841256309,36258211.97237087,0.0,33094626.46006874,0.0,64848060.494076538,0.0,5822653.178270804,0.0,5822641.524194664,0.0 
 11/14  15:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,23426749.539543854,23426749.539543854,17598043.515003366,59504904.64554856,18272864.640844205,0.0,29267516.83157788,0.0,50689822.791040588,0.0,5822653.178270803,0.0,5822641.524194657,0.0 
 11/14  16:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,30445684.14447335,30445684.14447335,17836932.184823377,67001745.20789726,23747633.63268921,0.0,30843713.857029637,0.0,54588394.75743321,0.0,5822653.178270795,0.0,5822641.524194645,0.0 
 11/14  17:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,376351977.86631986,0.0,0.0,240258472.78500004,23988000.0,38775735.39708,73329769.68423987,87098678.58158463,87098678.58158463,21474124.361381517,53190495.793221909,68037853.26544515,0.0,37219796.9068962,0.0,88467172.46795687,0.0,5822653.178270799,0.0,9858000.396559816,0.0 
 11/14  18:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,388376796.26637127,18358.754575345996,0.0,240258472.78500004,35982000.0,38775735.39708,73342229.32971598,136485995.37300677,136485995.37300677,25459567.47434616,34869732.789076548,106758685.05686964,0.0,40939999.554216038,0.0,116234805.27588943,0.0,7508183.61393814,0.0,15387107.542488542,0.0 
 11/14  19:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,304415183.8992682,426399.7356401214,0.0,160172315.18999998,35982000.0,34467320.35296,73367148.62066823,173575590.83857457,173575590.83857457,30593472.504207225,13593063.389121244,136275702.21247924,0.0,43253064.83977407,0.0,135867047.70879919,0.0,11804504.196904012,0.0,18254455.41559866,0.0 
 11/14  20:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,304731093.7686323,742309.6050041549,0.0,160172315.18999998,35982000.0,34467320.35296,73367148.62066823,202035426.24645097,202035426.24645097,39579181.05886495,14912.84171881416,158901612.69781,0.0,44507347.70297478,0.0,152469605.54863847,0.0,14156177.724532564,0.0,20355941.800896188,0.0 
 11/14  21:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,273950911.8210416,965928.5665334244,0.0,133476929.325,35982000.0,30158905.30883999,73367148.62066823,229780078.57389087,229780078.57389087,56878647.252862799,0.0,180883897.51246176,0.0,47183327.6033695,0.0,166838809.99259154,0.0,16880851.65269972,0.0,22344749.381502868,0.0 
 11/14  22:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,106606431.90647999,0.0,0.0,53390771.73,35982000.0,17233660.17648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/14  23:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,57946523.02073999,0.0,0.0,13347692.9325,35982000.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 11/14  24:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,57946523.02073999,0.0,0.0,13347692.9325,35982000.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
