Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 10/03  10:00:00,556952210.8542338,9942694.758576867,45048564.658114138,272643148.0655114,0.0,216461331.18616648,12826087.84704159,30384.338823529408,8079078.970903526,0.0,8079078.970903526,63308704.404368679,261790756.32444934,4764602.170066414,9942694.758576867,165420526.55906663 
 10/03  11:00:00,560418094.4941977,5350341.296809884,46051188.048311177,272643148.0655114,0.0,223397067.4499028,12945965.294839181,30384.338823529408,8081244.216361988,0.0,8081244.216361988,62010419.41947994,273456130.7010443,5741956.461362087,5350341.296809884,168402004.6767547 
 10/03  12:00:00,574004013.4520406,5502371.72940589,61148424.78767261,272643148.0655114,0.0,221437412.82482205,13242271.705804853,30384.338823529408,8084415.11070226,0.0,8084415.11070226,57895377.97799219,280818272.5106303,6963649.32548168,5502371.72940589,222974885.4679192 
 10/03  13:00:00,587178646.7536383,169808.86412946057,71457748.7536073,272643148.0655114,0.0,229176847.66968299,13700709.06188383,30384.338823529408,12089706.896647606,0.0,12089706.896647606,57348867.97549871,305276054.8330312,6597141.466245802,169808.86412946057,252578424.5344273 
 10/03  14:00:00,576811710.4541729,0.0,74132939.04186611,272643148.0655114,0.0,216461331.18616648,13543907.821805554,30384.338823529408,4074715.8174260135,0.0,4074715.8174260135,55270294.48745792,307724670.7650175,4153755.738006617,0.0,249797504.91911186 
 10/03  15:00:00,571696064.4152904,0.0,68910028.56598231,272643148.0655114,0.0,216461331.18616648,13651172.25880688,30384.338823529408,8077209.785610436,0.0,8077209.785610436,54493955.31882757,315414216.6224872,4031586.451594658,0.0,225968696.79565094 
 10/03  16:00:00,569590267.984013,0.0,56447650.74839753,272643148.0655114,0.0,226864935.58177094,13604149.249509944,30384.338823529408,8080058.604993668,0.0,8080058.604993668,52496967.08268287,312643959.31340447,5375448.602126208,0.0,182271752.1380977 
 10/03  17:00:00,498056147.1337674,502073.9005071627,45513697.221059698,212055781.82873113,0.0,226061237.00064618,13892972.843999559,30384.338823529408,4073502.1080964358,0.0,4073502.1080964358,32190447.6923602,307919573.1844555,3176401.4467109434,502073.9005071627,148293407.51863153 
 10/03  18:00:00,378238078.28248026,12190070.885295034,29316075.3853681,151468415.59195087,42741600.0,129665444.23400118,12826087.84704159,30384.33882352941,4073005.420212712,0.0,4073005.420212712,12381837.172836222,257233067.1060372,2565555.0146511455,12190070.885295034,97654834.69023709 
 10/03  19:00:00,390641097.9907025,26193916.3874815,15592097.943052279,151468415.59195087,64112400.0,120417795.88235286,12826087.84704159,30384.338823529408,4071919.8560737569,0.0,4071919.8560737569,13641499.812087724,234679107.76318456,1832539.2961793894,26193916.3874815,52954890.834111008 
