Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/24  10:00:00,93572844.94089099,0.0,131082.60181715177,13362043.1603184,0.0,65077200.0,7864969.111196254,0.006672258823196572,7137550.060886923,131307644.86021084,0.0,118843560.0,12464084.860210821,0.0,28680569.428989985,9120416.591480563,18148268.910771938,0.0,601919.4278563854 
 06/24  11:00:00,99135377.47129673,0.0,1678441.0176333113,13362043.1603184,0.0,65077200.0,7864969.111196254,0.007413363503265744,11152724.174735405,160385327.29850403,0.0,145853460.00000004,14531867.298503986,0.0,33834623.515657838,10133776.148561053,21112350.482995064,0.0,7701515.554273303 
 06/24  12:00:00,97890941.78993127,0.0,3309174.26148272,13362043.1603184,0.0,65077200.0,7864969.111196254,0.00741038553322132,8277555.24952352,142115580.95959924,0.0,129647519.99999999,12468060.959599235,0.0,36425367.52115123,10133782.005060982,21916336.26990012,0.0,15033913.65379934 
 06/24  13:00:00,97182812.9371016,0.0,3482840.067458113,13362043.1603184,0.0,65077200.0,7864969.111196254,0.006671035162749529,7395760.591457804,125904103.61767109,0.0,113441580.0,12462523.617671082,0.0,34550075.36097881,9120401.36967928,19051841.076826555,0.0,15631151.729666099 
 06/24  14:00:00,78152952.58972812,0.0,2468036.7066063557,13362043.1603184,0.0,47077200.0,7864969.111196254,0.005933928663998797,7380703.60567319,88087263.24778115,0.0,75627720.0,12459543.247781145,0.0,28526219.739979768,8107052.900648248,18977641.691785829,0.0,10896509.171389237 
 06/24  15:00:00,78128750.4227136,0.0,2517399.927504419,13362043.1603184,0.0,47077200.0,7864969.111196254,0.005926533593143029,7307138.217767999,80617623.99062193,0.0,70225740.0,10391883.99062192,0.0,28253886.27256701,8107054.629507329,18547431.05106133,0.0,11003747.769400029 
 06/24  16:00:00,78034464.4810416,0.0,2721226.4159869158,13362043.1603184,0.0,47077200.0,7864969.111196254,0.005189980744066725,7009025.788350038,91422690.5953294,0.0,81029700.0,10392990.59532941,0.0,29070980.954233987,7093650.214538633,16761036.951548577,0.0,11725329.98892581 
 06/24  17:00:00,96827692.14176545,0.0,3500042.8639615077,13362043.1603184,0.0,65077200.0,7864969.111196254,0.005928968252398421,7023437.000360314,102229461.56308256,0.0,91833660.00000002,10395801.563082546,0.0,33345234.27314681,8107044.4936404009,16847344.969131486,0.0,14853185.618682415 
 06/24  18:00:00,97497373.4092707,0.0,4177113.0367880018,13362043.1603184,0.0,65077200.0,7864969.111196254,0.00815362518160625,7016048.092814406,106373761.33826205,0.0,91833660.00000002,14540101.338262044,0.0,38871096.888823907,11147177.58164817,16914351.900180594,0.0,17589682.71309454 
 06/24  19:00:00,96824377.89267697,0.0,2981034.6178356797,13362043.1603184,0.0,65077200.0,7864969.111196254,0.00815457032141604,7539130.995172066,106373143.53106337,0.0,91833660.00000002,14539483.531063354,0.0,41358610.93332062,11147175.975546368,18950110.93682977,0.0,12376933.77324352 
 06/24  20:00:00,82587514.06208876,0.0,215594.7829299582,13362043.1603184,6828300.0,47077200.0,7864969.111196254,0.007412039462946002,7239407.000232119,95565254.43507971,0.0,81029700.0,14535554.435079707,0.0,42980191.905651669,10133802.8209323,18246226.006853288,0.0,887119.2714512135 
 06/24  21:00:00,84104143.01261419,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.00815433450206177,6695530.732945205,90167100.30482058,0.0,75627720.0,14539380.304820572,0.0,50041428.16363181,11147169.443175313,16465936.886544342,0.0,0.0 
 06/24  22:00:00,83508158.74689897,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.0059308433160251568,6099546.46945347,80675234.85238427,3391956.45441438,64823759.99999999,12459518.3979699,0.0,52028084.594163078,8107046.1770177,14230933.106031776,2645726.0344432166,0.0 
 06/24  23:00:00,87500373.98099356,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.0044464720986038129,10091761.705032429,34982923.2527532,15854531.204245719,10803960.0,8324432.048507483,0.0,47975367.188108887,6080278.032339114,17403484.872259514,12366534.33931166,0.0 
