Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),DINING:Zone Thermostat Heating Setpoint Temperature [C](Hourly),DINING:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC_1:1:Air System Total Heating Energy [J](Hourly),PSZ-AC_1:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC_2:2:Air System Total Heating Energy [J](Hourly),PSZ-AC_2:2:Air System Total Cooling Energy [J](Hourly) 
 09/23  10:00:00,9912663.713037458,21.0,24.0,19.0,26.0,106190539.55651352,0.0,659648.115012978,24055441.644392939,0.0,65077200.0,9322216.98862597,0.006623998602028518,7076032.801857645,131306155.02203736,0.0,118843560.0,12462595.022037343,0.0,26785717.145768405,8828743.743264351,17708307.002374468,0.0,2968170.0130193915,5902248.002380328,2968170.0130193915,3419968.980640454,0.0 
 09/23  11:00:00,9915343.79947971,21.0,24.0,19.0,26.0,113126951.44387359,0.0,3475325.8636678678,24055441.644392939,0.0,65077200.0,9322216.98862597,0.0073518980495995,11196766.939834923,158319405.0666562,0.0,145853460.00000004,12465945.066656158,0.0,32332914.062660565,9809767.272106572,20919806.445705527,0.0,15487762.744909583,5902248.002380311,15487762.744909594,3419968.9806404605,0.0 
 09/23  12:00:00,9913143.081068006,21.0,24.0,19.0,26.0,112671094.34304497,0.0,5844706.917850935,24055441.644392939,0.0,65077200.0,9322216.98862597,0.007358261972460895,8371528.784816909,142110714.22072954,0.0,129647519.99999999,12463194.220729534,0.0,35966683.90503346,9809709.996819156,21827502.905546749,0.0,25714471.207748508,5902248.002380322,25714471.207748496,3419968.9806404605,0.0 
 09/23  13:00:00,9911506.478043514,21.0,24.0,19.0,26.0,112245686.67442402,0.0,6318948.541888983,24055441.644392939,0.0,65077200.0,9322216.98862597,0.0066186159949880849,7471879.492897541,125902728.50568509,0.0,113441580.0,12461148.50568509,0.0,35817597.623380567,8828782.510053298,19039456.804314294,0.0,27543513.26458344,5902248.002380311,27543513.26458344,3419968.9806404479,0.0 
 09/23  14:00:00,8257297.567859317,21.0,24.0,19.0,26.0,94145548.7365647,0.0,6171889.684655959,24055441.644392939,0.0,47077200.0,9322216.98862597,0.005886344602742443,7518800.413003493,86021146.52082846,0.0,75627720.0,10393426.520828458,0.0,29756092.00509146,7847819.103514195,19124216.71206934,0.0,26412498.407715218,5902248.002380322,26412498.407715195,3419968.9806404605,0.0 
 09/23  15:00:00,9908534.575168498,21.0,24.0,19.0,26.0,95404521.90674486,0.0,7403158.320941309,24055441.644392939,0.0,47077200.0,9322216.98862597,0.005887447855665804,7546504.946897196,82683173.6974322,0.0,70225740.0,12457433.697432217,0.0,27900070.810826705,7847819.5900819399,18964049.51490013,0.0,31044621.66269018,5902248.002380334,30805031.99071519,3419968.9806404665,239589.67197498939 
 09/23  16:00:00,6601622.201521226,21.0,24.0,19.0,26.0,95266964.11769198,0.0,7546787.350821047,24055441.644392939,0.0,47077200.0,9322216.98862597,0.005144887448325251,7265318.128707156,89353571.50048849,0.0,81029700.0,8323871.500488478,0.0,27837632.52115737,6866844.670032086,17247183.336982564,0.0,31369092.926052434,5902248.002380322,31032277.754460455,3419968.9806404539,336815.17159198535 
 09/23  17:00:00,8257487.291670259,21.0,24.0,19.0,26.0,112399716.60991396,0.0,6738638.8982070409,24055441.644392939,0.0,65077200.0,9322216.98862597,0.005887211211523834,7206219.07280083,102227323.67110165,0.0,91833660.00000002,10393663.671101628,0.0,33312804.670436574,7847820.760235042,17264080.34628257,0.0,28679742.973716484,5902248.002380322,28083416.63382563,3419968.9806404605,596326.3398908366 
 09/23  18:00:00,11570360.532803249,21.0,24.0,19.0,26.0,114790234.94464319,0.0,6480770.480392372,24055441.644392939,2666700.0,65077200.0,9322216.98862597,0.008092363911460527,7187905.82313957,106368336.81131692,0.0,91833660.00000002,14534676.811316893,0.0,37317965.921649638,10790670.308448976,17336819.558723019,0.0,28306638.334956588,5902248.002380322,28306638.33495659,3419968.980640454,0.0 
 09/23  19:00:00,11570211.41978956,21.0,24.0,19.0,26.0,121732369.08099269,0.0,4862815.671773123,24055441.644392939,10666800.0,65077200.0,9322216.98862597,0.008091515777150203,7747894.7681091609,106368150.4235791,0.0,91833660.00000002,14534490.423579088,0.0,38553738.846802588,10790678.9033526,19480809.07695026,0.0,21658070.520413054,5902248.002380322,21658070.520413054,3419968.9806404539,0.0 
