Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 11/01  20:00:00,3129996570.1076438,0.0,353110241.81395277,807419778.5046485,221742000.0,897133087.2273873,351999296.7032966,120498881.29917348,213758911.65501658,164334372.9041696,832393351.57203,800939914.2364017,31453437.33562819,2924631573.1327936,13725953.904512378,2292668653.2219316,19816402.213148368,599074953.9009591,1254062044.1042357 
 11/01  21:00:00,2950495247.904462,0.0,268455682.77233198,807419778.5046485,221742000.0,897133087.2273873,263999472.52747248,120498881.29917348,206911972.66928006,164334372.9041696,880229447.1715428,872338612.9700464,7890834.201496359,2290732898.4593398,15168355.298488753,2208940395.175514,9325370.680117647,655521945.1690321,981279269.3284812 
 11/01  22:00:00,1384596526.1726635,0.0,0.0,269139926.16821607,221742000.0,717706469.7819098,175999648.3516483,0.0,8481.870889339347,0.0,7883384.165340588,0.0,7883384.165340588,0.0,0.0,0.0,5828358.611403145,0.0,0.0 
 11/01  23:00:00,1162026739.7824138,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,87999824.17582415,0.0,8482.740571701053,0.0,7882589.549923307,0.0,7882589.549923307,0.0,0.0,0.0,5828358.15692812,0.0,0.0 
 11/01  24:00:00,1118026828.2758909,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8483.321960928266,0.0,7882911.332867476,0.0,7882911.332867476,0.0,0.0,0.0,5828358.216310706,0.0,0.0 
 11/02  01:00:00,1118026839.1693209,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8494.215390978468,0.0,15693783.199602578,0.0,15693783.199602578,0.0,0.0,0.0,5850034.466042461,0.0,0.0 
 11/02  02:00:00,1118026838.126845,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8493.17291502994,0.0,7882871.352594325,0.0,7882871.352594325,0.0,0.0,0.0,5850034.412258106,0.0,0.0 
 11/02  03:00:00,1118026838.6062227,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8493.652292691206,0.0,7883215.809524963,0.0,7883215.809524963,0.0,0.0,0.0,5850034.48512005,0.0,0.0 
 11/02  04:00:00,1162026750.7244797,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,87999824.17582415,0.0,8493.682637479276,0.0,7882464.085751039,0.0,7882464.085751039,0.0,0.0,0.0,5850034.3508599069,0.0,0.0 
 11/02  05:00:00,1384601623.5661689,0.0,0.0,269139926.16821607,221742000.0,717706469.7819098,175999648.3516483,0.0,13579.264394658469,0.0,7892497.753161599,0.0,7892497.753161599,0.0,0.0,0.0,9360051.217176473,0.0,0.0 
