Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 07/20  09:00:00,2464829331.050293,0.0,1303260267.6871126,535063140.0,0.0,304621769.63868138,275427738.27667596,28360244.79334017,18096170.654483078,118960572.27811067,0.0,87016680.00000002,31943892.278110669,3209977723.5319378,3200902.5605990325,1364383430.698209,17764430.73122077,47485984.55518022,0.0,4477288971.724104 
 07/20  10:00:00,2582975209.166296,0.0,1402271844.0413616,535063140.0,0.0,319744854.1186813,279702241.30186876,27959984.12392506,18233145.580459387,162468891.5123514,0.0,130525020.0,31943871.512351376,3356266636.484009,3812849.86721694,1421328925.4043732,17764430.17708482,47496043.39216505,0.0,4715356783.11566 
 07/20  11:00:00,2610967463.8720076,0.0,1423398275.9194675,535063140.0,0.0,319744854.1186813,284990412.3080928,26460588.15503526,21310193.370730584,162468774.21631847,0.0,130525020.0,31943754.216318475,3299940828.4358437,4945376.999506664,1470493319.6157785,17764434.105926344,51361820.63494485,0.0,4622249105.02613 
 07/20  12:00:00,2580189921.0643618,0.0,1391752705.3227757,535063140.0,0.0,319744854.1186813,290530997.6357452,24872400.62805932,18225823.359100067,130597020.0,0.0,130525020.0,72000.0,3166346108.9000566,5380197.707021139,1526259763.1397284,17764435.17571696,46390248.171178627,0.0,4416679483.073058 
 07/20  13:00:00,2484012028.589959,0.0,1308173620.7755676,535063140.0,0.0,304621769.63868138,294612984.3923009,23161307.27510364,18379206.508305674,119029246.08927349,68921.05513602428,87016680.00000002,31943645.034137459,2927096688.9689,5896647.379579635,1565036781.0912214,17764429.758999967,47366382.83797858,55136.84410881942,4085251977.413247 
 07/20  14:00:00,2438200669.022623,0.0,1260148915.546662,535063140.0,0.0,304621769.63868138,298254535.93642649,21713503.523757355,18398804.3770961,118960216.06165257,0.0,87016680.00000002,31943536.061652565,2737453848.2729666,6120691.892610088,1602849224.4826115,17764429.15769838,47325327.44105684,0.0,3860473386.65525 
 07/20  15:00:00,2418564343.882251,0.0,1259942350.0422838,535063140.0,0.0,280801107.05934068,303157595.3484298,21331084.755509966,18269066.67668658,49346769.9836012,0.0,17403336.0,31943433.983601199,2732656708.917164,6724355.096710325,1622749584.2250477,17764434.507588377,46456387.35241329,0.0,3824834494.8803055 
 07/20  16:00:00,2420799729.529115,0.0,1277888130.5632528,535063140.0,0.0,263461766.4,305038423.0249303,21875723.902702024,17472545.63823055,17475336.0,0.0,17403336.0,72000.0,2835695549.0250718,6533629.963875038,1635779223.9759889,10412624.505410809,41896693.70187567,0.0,3927266077.9852535 
 07/20  17:00:00,2219946549.7719814,0.0,1209049635.0113354,535063140.0,0.0,143791286.4,292424998.80942168,22272455.323252005,17345034.22797254,49270427.419833,0.0,17403336.0,31867091.419832998,2746901993.3683798,5394520.636641128,1560203547.4972437,10412624.5058407,41965904.96009163,0.0,3831246888.0560495 
 07/20  18:00:00,1528583569.7931224,0.0,556798656.0822885,535063140.0,0.0,143791286.4,254313066.00440527,21148107.60395662,17469313.702472517,17506026.785121908,30690.78512190567,17403336.0,72000.0,1531166655.8233944,74397878.92300894,765643880.3076325,19783986.073936035,43348198.274021949,24552.628097524535,1445107416.948935 
 07/20  19:00:00,1427962902.447496,0.0,454497860.0808989,535063140.0,0.0,143791286.4,254313066.00440527,20848373.3274351,19449176.634757233,49433753.45187427,0.0,17403336.0,32030417.451874269,1345911461.4867199,5686110.256242113,767401924.5615505,26031521.90282598,50201491.67595731,0.0,1133354850.0344957 
 07/20  20:00:00,1072784880.3346175,0.0,379452755.43602946,189733389.44400008,65622000.0,143791286.4,254313066.00440527,21687875.64709507,18184507.403087796,49402918.740520019,0.0,17403336.0,31999582.74052001,1279710869.5108669,937228.2860990733,742459158.2135514,22907755.999734757,48098139.471228379,0.0,886003872.8169321 
 07/20  21:00:00,426730162.2077055,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,34849.97146227838,16940636.392243156,49404117.0361517,0.0,17403336.0,32000781.0361517,0.0,0.0,0.0,22907769.72353767,44763879.633713457,0.0,0.0 
 07/20  22:00:00,425250013.4096302,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,19025.565864769025,15476311.999765296,49291735.014376949,0.0,17403336.0,31888399.01437694,0.0,0.0,0.0,12495146.59756431,40825894.89966869,0.0,0.0 
 07/20  23:00:00,428348472.093593,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,14240.173392791334,18579556.076200155,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,9371362.101549522,45489632.88531837,0.0,0.0 
 07/20  24:00:00,425174100.7017188,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,8009.005915222817,15411415.851803504,49215039.28213538,0.0,17403336.0,31811703.282135384,0.0,0.0,0.0,5206312.29249281,41233872.5750043,0.0,0.0 
 07/21  01:00:00,425135845.26514938,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,7894.041781436846,15373275.379367834,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5197508.170879037,41231213.77251297,0.0,0.0 
 07/21  02:00:00,425070067.6254771,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,7862.817557926409,15307528.963919089,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5197508.234124181,41192342.08393163,0.0,0.0 
 07/21  03:00:00,424991177.5470203,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,7917.00152136247,15228584.701498863,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5197508.231775301,41088613.406268078,0.0,0.0 
 07/21  04:00:00,433850208.27154156,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,7997.905521914412,24087534.52201949,49214942.6161258,0.0,17403336.0,31811606.6161258,0.0,0.0,0.0,5197508.22361691,73437539.04913199,0.0,0.0 
 07/21  05:00:00,393155342.9244038,0.0,0.0,189733389.44400008,39373200.0,141274886.4,0.0,7917.012932561416,22765950.067471118,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5197508.176242456,68527458.32180462,0.0,0.0 
