Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 08/16  08:00:00,519510052.07603386,583629.1977890921,78229391.4432247,173690957.55979295,0.0,253451924.59275989,13523764.943643557,30384.33882352941,3974411.2045899007,0.0,3974411.2045899007,27872482.972830837,295381699.81580969,3926166.6801627615,583629.1977890921,339932777.0122637 
 08/16  09:00:00,501429122.59309247,0.0,91234534.05780824,173690957.55979295,0.0,223397067.4499028,13076179.186764915,30384.338823529408,7877686.833394643,0.0,7877686.833394643,26880336.920140938,300282662.4590222,4262695.252748141,0.0,396269078.7149821 
 08/16  10:00:00,500136212.9584165,0.0,96670559.29918047,173690957.55979295,0.0,216461331.18616648,13282980.574452987,30384.338823529408,3974860.8750615457,0.0,3974860.8750615457,26164184.31283786,312622691.9248041,4374871.443609935,0.0,409515178.64689078 
 08/16  11:00:00,515632697.31689247,0.0,103733024.55091919,173690957.55979295,0.0,223397067.4499028,14781263.417453928,30384.338823529408,7879914.140085172,0.0,7879914.140085172,20290965.406275084,341295230.8213522,5272280.970504278,0.0,432381728.3071916 
 08/16  12:00:00,512842026.28730496,0.0,102457076.95294371,173690957.55979295,0.0,221437412.82482205,15226194.610922575,30384.338823529408,11787772.761661273,0.0,11787772.761661273,14095620.201573173,345460745.5741292,6394042.879122211,0.0,425237536.94581 
 08/16  13:00:00,541187705.6621091,0.0,120665059.9646087,173690957.55979295,0.0,229176847.66968299,17624456.129200918,30384.338823529408,7881888.074152602,0.0,7881888.074152602,7063823.971429729,387753954.98696187,6057514.306536833,0.0,505046641.95304837 
 08/16  14:00:00,536486115.01294496,0.0,128907046.60191505,173690957.55979295,0.0,216461331.18616648,17396395.326246945,30384.338823529408,3974282.498465845,0.0,3974282.498465845,5581571.36707126,391756463.07957127,3813990.489300969,0.0,544532496.5343323 
 08/16  15:00:00,537259848.081185,0.0,129005916.48874077,173690957.55979295,0.0,216461331.18616648,18071258.507661079,30384.338823529408,7876275.9420562819,0.0,7876275.9420562819,5272929.0835648919,408832868.9518583,3701814.298439176,0.0,541682791.5339538 
 08/16  16:00:00,545700438.6765423,0.0,125073668.68840637,173690957.55979295,0.0,226864935.58177094,20040492.50774849,30384.338823529408,3975423.0453287309,0.0,3975423.0453287309,2795073.760393413,437836222.5555645,4935752.3979189,0.0,516877232.59833386 
 08/16  17:00:00,497175716.35948416,0.0,116792588.23211043,135092966.9909501,0.0,226061237.00064618,19198539.796953605,30384.338823529408,7874631.637447887,0.0,7874631.637447887,0.0,429726731.79433986,2916580.962406623,0.0,483026591.83854517 
 08/16  18:00:00,337007671.2901068,0.0,97651125.94321022,96494976.4221072,0.0,129665444.23400118,13165740.351964605,30384.338823529408,3972544.179653522,0.0,3972544.179653522,0.0,334305651.5380679,2355700.008097657,0.0,411222529.1710341 
 08/16  19:00:00,335948047.40196385,0.0,89108723.14983909,96494976.4221072,17764800.0,120417795.88235286,12131367.608841164,30384.338823529408,72000.0,0.0,72000.0,0.0,303483260.74517336,1682642.8629268984,0.0,379188961.93663039 
 08/16  20:00:00,305122340.81407138,114.15540722500737,80954964.08976078,57896985.85326433,53294400.0,101118800.5979314,11826691.77888405,30384.338823529408,3971803.1927354729,0.0,3971803.1927354729,0.0,293996176.3537651,1906995.2446504846,114.15540722500737,346374412.45919826 
 08/16  21:00:00,292462680.62759557,883493.3538825922,72035748.88063386,57896985.85326433,53294400.0,96494976.4221072,11826691.77888405,30384.338823529408,3970826.2810290285,0.0,3970826.2810290285,0.0,283191399.998756,897409.5268943455,883493.3538825922,309909580.266731 
 08/16  22:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.33882352941,72000.0,0.0,72000.0,6432998.42814048,0.0,560880.954308966,0.0,0.0 
