Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 07/15  14:00:00,4520844107.875599,0.0,1431744520.7848979,1003901411.745612,0.0,961040943.332525,299199402.19780156,427202875.10454389,238574299.60850949,134319131.12265883,0.0,24861523.9790507,836263478.2657337,588235570.9035717,152946088.94592,95081818.4162419,8810568730.576699,0.0,2283080083.080668,75672162.21594423,59375761.32959692,464069755.66891458,7308195532.564119 
 07/15  15:00:00,4156162923.3222887,0.0,1411555269.0266917,883596248.8576131,0.0,765165201.0559201,299199402.19780156,401083044.74590685,236432875.70310945,134319131.12265883,0.0,24811750.612586865,627473896.7372961,328456903.4751666,203928118.59456,95088874.66756946,8602599888.878663,0.0,2192298659.00136,75670489.9041972,59050403.66193097,321969290.4871418,7117787876.076553 
 07/15  16:00:00,4207088573.475461,0.0,1435287503.0759903,883596248.8576131,0.0,792155392.2367202,299199402.19780156,401083044.7459069,237325606.2148509,134319131.12265883,0.0,24122245.023919025,761899487.0671194,360923979.17388465,305892177.89184,95083330.00139462,8743420260.202242,0.0,2208717455.462395,75670676.75321433,54581195.673219759,310894058.1026056,7237883640.161646 
 07/15  17:00:00,4052673630.9751808,0.0,1433358581.7180153,883596248.8576131,0.0,792155392.2367202,146666373.6263733,401083044.7459069,237241750.89535625,134319131.12265883,0.0,24253107.772536108,814212330.5083577,413662555.80219957,305892177.89184,94657596.81431808,8726543448.852326,0.0,2185168362.6443579,62126634.60042705,55157124.68002272,338057884.00240638,7220305554.694435 
 07/15  18:00:00,3769776076.275238,0.0,1374579073.8184977,767444968.8145875,0.0,716799361.7081372,117333098.90109866,401083044.7459069,235380490.69218175,134319131.12265883,0.0,22836906.472168164,940893195.6042718,603662641.7683005,305892177.89184,31338375.944131257,8329037311.931597,0.0,2049482631.4103795,36767832.67941195,53785716.147002767,463685619.74044498,6879366863.287458 
 07/15  19:00:00,3726888627.5249936,0.0,1356022545.9790958,767444968.8145875,0.0,689809170.5273374,117333098.90109866,401083044.7459069,235055292.26321865,134319131.12265883,0.0,25821375.171089237,915751506.4507866,649215937.8053604,203928118.59456,62607450.05086629,8204907932.288186,0.0,1995329616.0319763,36768206.7288974,63172476.49638812,506481410.4448973,6779408137.375942 
 07/15  20:00:00,3149990395.0252468,0.0,1212162757.2112482,526834643.0385891,56238300.0,448411296.5500608,117333098.90109866,401083044.7459069,229011422.40173585,134319131.12265883,0.0,24596701.053947759,1188170297.377509,952903855.8227588,203928118.59456,31338322.960190067,7145912851.794007,0.0,1812278107.904751,36767820.03396173,61935889.980893928,720115372.0089005,5852703955.5607399 
 07/15  21:00:00,3101260755.4665229,0.0,1148666820.5101147,526834643.0385891,74984400.0,448411296.5500608,117333098.90109866,401083044.7459069,227085465.49326767,134319131.12265883,0.0,22542855.10482656,1224332676.5901383,1008779154.1810819,152946088.94592,62607433.46313639,6747971167.615628,0.0,1749441740.894506,36768209.93601756,56345421.68039647,790876032.2867872,5538441367.92823 
 07/15  22:00:00,3041141061.5469038,0.0,1204086744.5335985,410683362.9955632,74984400.0,448411296.5500608,117333098.90109866,401083044.7459069,229772413.64944423,134319131.12265883,0.0,20467569.048572709,1222953605.4383577,1089651564.8459633,101964059.29728,31337981.295114314,7137779985.36903,0.0,1661034161.9134048,36767867.279191199,48762001.58043106,844442861.1736657,5869399739.993431 
 07/15  23:00:00,3129111429.934531,0.0,1284681622.0310276,410683362.9955632,74984400.0,448411296.5500608,117333098.90109866,401083044.7459069,233171973.10893888,134319131.12265883,0.0,24443500.479277187,1164670895.7601217,1051081448.5076125,50982029.64864,62607417.603869009,7717257523.655503,0.0,1624266414.4651635,36768212.8856572,53568596.522408369,833125857.6816206,6370465610.673037 
 07/15  24:00:00,3136166357.219966,0.0,1334309664.9141179,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,234970779.6062737,134319131.12265883,0.0,20556865.155486518,1101634636.5586785,1049903516.9356363,20392811.859456,31338307.76358624,8050858359.048016,0.0,1592108644.399495,36767814.6547505,47455737.43991422,827976490.4668311,6647022596.428343 
 07/16  01:00:00,2998065619.570386,0.0,1260029101.3810764,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,231884967.1522287,134319131.12265883,0.0,19975084.93699296,1234741956.9330276,1151742980.6269448,20392811.859456,62606164.44662675,7499060459.679312,0.0,1544061779.0038963,36701584.05901768,46416071.00298668,895069505.0359018,6163993488.185416 
 07/16  02:00:00,2919056572.379062,0.0,1184246357.4197913,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,228952989.125889,134319131.12265883,0.0,19680759.733293199,1275222504.8935099,1223492433.520992,20392811.859456,31337259.513061789,6967110028.333858,0.0,1502816657.1108709,36701221.86003794,45916837.01653811,956729670.7454778,5714921211.45617 
 07/16  03:00:00,2949085566.3482115,0.0,1212908276.9745739,350530781.5515637,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,230260738.97884447,134319131.12265883,0.0,19740084.294704707,1284341901.5502108,1201343194.454216,20392811.859456,62605895.23653877,7194690597.5158419,0.0,1480399103.336176,36701567.020824309,45538896.804039109,954324894.0031158,5920239625.837762 
 07/16  04:00:00,3084623128.613847,0.0,1229226490.9663249,466682061.59458956,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,230261447.69826008,134319131.12265883,0.0,22807443.806147495,1167604365.966136,1115874348.4547487,20392811.859456,31337205.651931228,7289854268.547243,0.0,1520499365.2915936,36701196.607858378,55097138.61041159,897454975.0749272,5992499818.711927 
