Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 08/21  03:00:00,377361877.863113,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7813.919414929172,14893946.790098036,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5093400.916250954,40407087.156108278,0.0,0.0 
 08/21  04:00:00,379044345.42109,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7870.64409285524,16576357.623397047,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5093400.912697293,46910575.728837918,0.0,0.0 
 08/21  05:00:00,378970182.1935962,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7951.234931914566,16502113.805064165,48420451.10000585,0.0,17403336.0,31017115.10000585,0.0,0.0,0.0,5093400.907887487,46417586.38202028,0.0,0.0 
 08/21  06:00:00,732369148.6177914,0.0,143662372.59633983,156648030.75360007,0.0,143791286.4,260023104.76502938,12183774.338374336,16060579.764447853,17567467.68699658,92131.68699657679,17403336.0,72000.0,593871703.6570606,0.0,910806781.8332424,5093400.8740923539,44528681.499505948,73705.34959726144,436716478.58095887 
 08/21  07:00:00,821268193.3849486,0.0,227763230.71885438,156648030.75360007,0.0,143791286.4,260023104.76502938,17303169.57097847,15739371.176486493,73957799.46961668,56482463.46961669,17403336.0,72000.0,902555005.3912752,13292607.846217439,608857344.0992303,10186801.817944767,42425330.9591033,44056321.506301019,662545431.4950403 
 08/21  08:00:00,1443582363.1492806,0.0,396796545.70676866,441759816.0,0.0,304621769.63868138,262408022.3853287,20733780.518297849,17262428.90020405,118310431.56683465,0.0,87016680.00000002,31293751.56683463,1237034275.1721478,417267.15886946316,810499593.3316336,31701613.9496897,45634458.294703569,0.0,1257043754.3332043 
 08/21  09:00:00,1666442113.078682,0.0,617999761.1947613,441759816.0,0.0,304621769.63868138,265158353.24571444,19236169.69444817,17666243.305077,118160087.77004722,0.0,87016680.00000002,31143407.77004721,1410701362.4898849,1700095.6881283168,1001424421.313427,17358399.111592249,46358499.72812867,0.0,2111531952.647244 
 08/21  10:00:00,1883232471.6937428,0.0,815085575.0587379,441759816.0,0.0,319744854.1186813,269224509.078277,19504117.122772956,17913600.31527362,161668091.07821704,0.0,130525020.0,31143071.07821703,1692035234.5609036,3297207.6931900365,1131325564.1386486,17358398.397406695,46303757.57852647,0.0,2781045469.419065 
 08/21  11:00:00,2027908663.657299,0.0,950092773.2178943,441759816.0,0.0,319744854.1186813,275522438.3981786,19815354.165744656,20973427.75680018,161667670.48533408,0.0,130525020.0,31142650.485334066,1947300247.8585823,4618947.982567061,1258978013.5932565,17358402.34243655,49730357.12450653,0.0,3196551472.0816547 
 08/21  12:00:00,2152129135.565086,0.0,1068190186.0255987,441759816.0,0.0,319744854.1186813,284209059.9920294,20186989.369680954,18038230.059095794,130597020.0,0.0,130525020.0,72000.0,2225144559.451359,5371951.277708954,1401682428.1519986,17358402.204929979,45527253.20651576,0.0,3565298163.977291 
 08/21  13:00:00,2323126443.265833,0.0,1244740530.2850753,441759816.0,0.0,304621769.63868138,291487286.29061457,22179192.879417439,18337848.17204468,118221977.62743427,63059.26227038681,87016680.00000002,31142238.36516387,2713064767.575126,6415674.8282628799,1504709777.8174859,17358395.535490678,46943315.71305193,50447.40981630945,4203852724.583319 
 08/21  14:00:00,2469445234.7588555,0.0,1385922830.981868,441759816.0,0.0,304621769.63868138,295276916.2496737,23340916.962279578,18522984.926352599,118159956.80982897,0.0,87016680.00000002,31143276.809828953,3021426554.141054,7277494.255519682,1553086579.1253687,17358395.776922108,47375961.131495948,0.0,4629262315.907106 
 08/21  15:00:00,2368424480.252496,0.0,1308433594.1228469,441759816.0,0.0,280801107.05934068,296757964.31930187,22244727.261649956,18427271.489356795,48546477.72424831,0.0,17403336.0,31143141.724248314,2845008540.8094379,7469214.135343942,1548394817.1140855,17358407.356789985,46990859.15321549,0.0,4334473250.482008 
 08/21  16:00:00,2248619673.082948,0.0,1207013044.5576187,441759816.0,0.0,263461766.4,297600185.07141169,21295530.88092308,17489330.17299513,17475336.0,0.0,17403336.0,72000.0,2658298804.8019659,6732230.016926885,1549233325.1513527,10186801.404632399,41967234.13108047,0.0,4035089822.5319955 
 08/21  17:00:00,2035744773.676267,0.0,1126051422.6705065,441759816.0,0.0,143791286.4,285364323.6726733,21403213.561229584,17374711.371857618,17475336.0,0.0,17403336.0,72000.0,2455645114.6356937,5935667.124373106,1442308735.349363,10186801.729734052,41885280.49216866,0.0,3839761843.302828 
 08/21  18:00:00,1455248118.773241,0.0,570607149.4117413,441759816.0,0.0,143791286.4,260023104.76502938,21512074.730046955,17554687.46642387,48868744.51633593,299708.2828386178,17403336.0,31165700.233497304,1571744988.4945234,80726388.47543647,730449964.7629677,19354922.074671784,43444869.86034138,234610.35721538496,1719143731.8741499 
 08/21  19:00:00,1442991429.5948575,0.0,533753215.8916905,441759816.0,21512400.0,143791286.4,260023104.76502938,22481966.41294183,19669640.12519607,48629610.84387887,0.0,17403336.0,31226274.843878878,1584254736.5151747,12606490.04208396,724286154.7507137,25466972.89716109,50668122.412233199,0.0,1638382276.2914744 
 08/21  20:00:00,1130739058.1989086,0.0,463718651.97395828,156648030.75360007,64537200.0,143791286.4,260023104.76502938,23456890.69203367,18563893.614287229,48598557.8756549,0.0,17403336.0,31195221.875654896,1655416581.8760467,14283832.663715397,669905635.8914467,22410943.776408484,49260021.91310311,0.0,1387967087.9944795 
 08/21  21:00:00,379794235.67455318,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,34627.70217742137,17299490.818775625,48599882.13146454,0.0,17403336.0,31196546.131464546,0.0,0.0,0.0,22410937.265997456,45693462.67163046,0.0,0.0 
 08/21  22:00:00,378400375.46214058,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,18991.61370050386,15921266.694839955,48493394.33239692,0.0,17403336.0,31090058.332396918,0.0,0.0,0.0,12224159.809220098,41524873.69688162,0.0,0.0 
 08/21  23:00:00,381499579.3405305,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,14070.008353447955,19025392.17857697,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,9168121.407371119,45999908.687496747,0.0,0.0 
 08/21  24:00:00,378365838.689066,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7893.103833639587,15897828.4316323,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5093400.911296837,41559682.04940921,0.0,0.0 
 08/22  01:00:00,378273402.4263283,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7955.483259502959,15805329.789468747,48420218.97289802,0.0,17403336.0,31016882.97289802,0.0,0.0,0.0,5095664.154148648,41430742.131418149,0.0,0.0 
 08/22  02:00:00,378206482.82572516,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7831.87432249813,15738533.797802577,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5095664.118600984,41334551.34017431,0.0,0.0 
 08/22  03:00:00,378224878.2006377,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7816.639475529475,15756944.40756214,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5095664.176801295,41254671.274940539,0.0,0.0 
 08/22  04:00:00,388006541.01834848,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7875.027634830619,25538548.8371135,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5095664.172629874,73669992.96922224,0.0,0.0 
 08/22  05:00:00,386497399.2653993,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7954.609045957,24029327.502753259,48420698.86394995,0.0,17403336.0,31017362.86394994,0.0,0.0,0.0,5095664.170810133,68813326.50796248,0.0,0.0 
 08/22  06:00:00,1024693332.8529374,0.0,402993207.9952937,156648030.75360007,10756200.0,143791286.4,260023104.76502938,29919570.549764567,20561932.38924986,17475336.0,0.0,17403336.0,72000.0,1654844370.9548844,371098.94145591239,596365000.2086955,5095664.136479998,58062504.96225381,0.0,1217761350.8049179 
 08/22  07:00:00,1063894261.9658852,0.0,455819101.11462309,156648030.75360007,0.0,143791286.4,260418104.0053504,30551115.847668329,16666623.844643478,17475336.0,0.0,17403336.0,72000.0,1701392415.6382855,487796.10829459349,630307903.762754,10191328.321485779,45498342.26364255,0.0,1486798580.4303952 
 08/22  08:00:00,1633900050.2096179,0.0,574081919.5436218,441759816.0,0.0,304621769.63868138,265730184.35726378,30216149.972834,17490210.69721708,136229184.49377383,0.0,87016680.00000002,49212504.49377382,1963209899.4518347,0.0,965651720.1965907,31716977.534708449,47008372.79863487,0.0,2056937024.0219472 
 08/22  09:00:00,1709258791.410137,0.0,646404871.2035778,441759816.0,0.0,304621769.63868138,267463521.1588895,31416486.991132738,17592326.4178558,100317897.17461673,0.0,87016680.00000002,13301217.174616717,2139583739.3465276,0.0,1044756937.9406563,17366535.47346356,47551138.03481167,0.0,2379222779.174272 
 08/22  10:00:00,1852795651.7590767,0.0,776436504.9482856,441759816.0,0.0,319744854.1186813,269391041.93799,27759736.73365581,17703698.02046419,161668302.69881244,0.0,130525020.0,31143282.69881242,2319691171.598798,3718.8296093536334,1105406995.8382245,17366537.31274674,47570710.37810122,0.0,2939336219.8239157 
 08/22  11:00:00,1981536179.3051375,0.0,902167700.2415383,441759816.0,0.0,319744854.1186813,271020975.2700465,26087926.53640776,20754907.138463946,161667887.6150289,0.0,130525020.0,31142867.615028886,2527830234.3578336,326039.607857808,1150688488.8675345,17366540.79800978,51117372.51181827,0.0,3438843360.7636015 
 08/22  12:00:00,2161406681.45918,0.0,1080423110.8766278,441759816.0,0.0,319744854.1186813,274083732.9271515,27588097.879796789,17807069.65692272,130597020.0,0.0,130525020.0,72000.0,2885091002.3703758,1144413.8443711596,1221003338.4715174,17366541.522504037,46930163.114405367,0.0,4153618631.060886 
 08/22  13:00:00,2313655595.4862215,0.0,1243951678.9577249,441759816.0,0.0,304621769.63868138,276266321.0088857,29046018.82048372,18009991.060446085,118222479.88335046,63338.771692343056,87016680.00000002,31142461.111658109,3213550020.98394,2481309.7190706816,1262255100.0766679,17366534.970462894,47558685.86920348,50671.01735387445,4786443651.807552 
 08/22  14:00:00,2423156022.4600245,0.0,1350976607.8615828,441759816.0,0.0,304621769.63868138,278282510.8159627,29396741.477707466,18118576.666090307,118158735.70997693,0.0,87016680.00000002,31142055.70997692,3378384409.4635508,3333574.502322166,1298607171.1585408,17366532.611172454,47556332.740038428,0.0,5134889037.341264 
 08/22  15:00:00,2591252660.5180237,0.0,1536810806.3200646,441759816.0,0.0,280801107.05934068,283412858.98642268,30190047.463897796,18278024.688298115,48546716.66197398,0.0,17403336.0,31143380.661973984,3750203008.589478,5144763.491105471,1355338126.1057196,17366546.08929796,47525680.05565625,0.0,5709397416.945203 
 08/22  16:00:00,2666763717.273882,0.0,1628493655.7542067,441759816.0,0.0,263461766.4,284169761.65401169,30752278.219567934,18126439.246095115,17475336.0,0.0,17403336.0,72000.0,3918173715.4420635,5949562.570248999,1356429515.8447386,10191328.003565316,46136078.359407078,0.0,5982149339.173347 
 08/22  17:00:00,2553686392.1463835,0.0,1640346173.3968392,441759816.0,0.0,143791286.4,279176656.8936397,30859131.644936727,17753327.81096855,17475336.0,0.0,17403336.0,72000.0,3793556244.135865,6371566.265741481,1320041376.4723457,10191328.246881724,43645127.41016347,0.0,5992463582.202841 
 08/22  18:00:00,1775519718.479484,0.0,881611955.5193522,441759816.0,0.0,143791286.4,260023104.76502938,30341101.434555614,17992454.360547484,48876749.39937309,307770.7620989386,17403336.0,31165642.63727416,2491776934.9032356,93062510.20740523,708104260.8401539,19363522.714260959,45261560.15722394,240932.03714470435,2921955704.383426 
 08/22  19:00:00,1711070564.034072,0.0,785161705.8598422,441759816.0,32268600.0,143791286.4,260023104.76502938,30109399.509085545,17956651.50011535,48629859.18374467,0.0,17403336.0,31226523.18374467,2368928080.4888188,16246484.242063627,699978927.8483608,25478290.672235498,45807910.577014718,0.0,2630295009.1085689 
 08/22  20:00:00,1321674171.8755258,0.0,649904294.2740207,156648030.75360007,64537200.0,143791286.4,260023104.76502938,29775585.24445363,16994670.4384221,48598809.24985067,0.0,17403336.0,31195473.249850669,2298959186.203328,25665737.810216257,648812782.3888246,22420894.74691411,44701510.45140973,0.0,2114533965.8479553 
 08/22  21:00:00,378593242.3322953,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,34630.98408058083,16098494.194614627,48596233.88533864,0.0,17403336.0,31192897.88533865,0.0,0.0,0.0,22420896.132919667,42108821.73423014,0.0,0.0 
