Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/17  10:00:00,130352781.5187713,0.0,5711775.923565567,55011448.71503999,0.0,25850490.264719998,43779066.615445729,0.0,0.0,0.0,29093598.725798236,0.0,27153095.04251607 
 06/17  11:00:00,129512014.05514014,0.0,4871008.4599344129,55011448.71503999,0.0,25850490.264719998,43779066.615445729,0.0,0.0,0.0,37078386.55158359,0.0,23458340.901251444 
 06/17  12:00:00,168817579.06160943,0.0,8054019.020643684,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,48007108.3771094,0.0,38371453.33922825 
 06/17  13:00:00,170966198.2578863,0.0,10202638.216920527,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,57479425.39571328,0.0,48128394.69923648 
 06/17  14:00:00,178865699.2203463,0.0,18102139.17938055,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,66283428.57830702,0.0,83143853.5085839 
 06/17  15:00:00,182964528.06125749,0.0,22200968.020291743,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,72207854.8022637,0.0,100801016.54167421 
 06/17  16:00:00,177339099.7429087,0.0,16575539.70194294,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,74569485.83088419,0.0,76039252.31047152 
 06/17  17:00:00,128982046.22980789,0.0,4341040.634602145,55011448.71503999,0.0,25850490.264719998,43779066.615445729,0.0,0.0,0.0,64053921.442821439,0.0,20703643.25137681 
 06/17  18:00:00,89368757.90580429,0.0,850306.7563585707,27505724.357519997,0.0,17233660.17648,43779066.615445729,0.0,0.0,0.0,60389019.2629066,0.0,4193786.8715108025 
 06/17  19:00:00,13339053.65556,0.0,0.0,6876431.089379999,0.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  20:00:00,33177453.65556,0.0,0.0,6876431.089379999,19838400.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  21:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  22:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  23:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
