Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 01/02  12:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,209031079.34255649,2661796.4781993,0.0,123775759.60884,0.0,38775735.39708,43817787.85843718,342740737.68302229,342740737.68302229,57152758.55607106,0.0,272260641.0855544,0.0,53551598.35989647,0.0,210909727.33221967,0.0,21307526.674081886,0.0,27609058.85660144,0.0 
 01/02  13:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,208824981.51746149,2455698.653104299,0.0,123775759.60884,0.0,38775735.39708,43817787.85843718,325685189.1845927,325685189.1845927,43449695.657282,0.0,258618990.21545855,0.0,51182822.752381909,0.0,202763182.93625248,0.0,19854168.533225538,0.0,26142183.955940799,0.0 
 01/02  14:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,208863325.26551766,2494042.4011604425,0.0,123775759.60884,0.0,38775735.39708,43817787.85843718,332872737.7193304,332872737.7193304,36583350.9708087,1010685.4961394594,264282228.99273629,0.0,50837500.17017548,0.0,207643791.08041979,0.0,20402736.74250439,0.0,26683225.213918918,0.0 
 01/02  15:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,209003231.22915907,2633948.364801883,0.0,123775759.60884,0.0,38775735.39708,43817787.85843718,343915032.5154532,343915032.5154532,35275871.62511979,5235181.597196963,273087188.38621249,0.0,50764510.358496058,0.0,214226304.9559014,0.0,21474403.230779336,0.0,27767088.091678766,0.0 
 01/02  16:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,208987629.33284397,2618346.468486783,0.0,123775759.60884,0.0,38775735.39708,43817787.85843718,317286349.82502606,317286349.82502606,32377667.489541815,17206960.73994988,252167142.18169017,0.0,47954092.594680849,0.0,198684733.03465194,0.0,20024207.74738161,0.0,26664828.95193529,0.0 
 01/02  17:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,228928149.34252505,2720466.478167839,0.0,123775759.60884,19838400.0,38775735.39708,43817787.85843718,311942952.5771277,311942952.5771277,31918937.23525336,14194157.352871266,248074718.35994885,0.0,46164824.09724648,0.0,195557948.32570119,0.0,20552847.328258549,0.0,26857698.746021268,0.0 
 01/02  18:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,239080266.6798789,2953383.815521662,0.0,123775759.60884,29757600.0,38775735.39708,43817787.85843718,342340157.2541302,342340157.2541302,35379238.57163499,2995308.212891989,272153487.9720819,0.0,47408845.48564483,0.0,213962495.53178949,0.0,22599702.58872974,0.0,29008127.165844919,0.0 
 01/02  19:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,193560622.88762538,3000741.60366816,0.0,82517173.07255998,29757600.0,34467320.35296,43817787.85843718,354443875.73476669,354443875.73476669,44641174.83036504,0.0,281722547.2921596,0.0,48650332.1882857,0.0,220252152.3823274,0.0,23837816.843899039,0.0,29760570.889427969,0.0 
 01/02  20:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,193612983.3381124,3053102.0541552116,0.0,82517173.07255998,29757600.0,34467320.35296,43817787.85843718,362613759.4941831,362613759.4941831,61728689.71695174,0.0,288170769.2304566,0.0,48473492.93778527,0.0,225713927.65153284,0.0,24394389.668775385,0.0,30314923.533652426,0.0 
 01/02  21:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,175542220.6311032,3043616.5700259346,0.0,68764310.8938,29757600.0,30158905.30883999,43817787.85843718,363000623.99585697,363000623.99585697,69494190.16856033,0.0,288486945.0187703,0.0,48875214.197421889,0.0,225083310.47848059,0.0,24962233.751375013,0.0,30301636.636914717,0.0 
