Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/23  06:00:00,1367830124.5720752,0.0,0.0,179426617.44547747,0.0,717706469.7819098,351999296.7032966,118458774.13136629,238966.51002535787,0.0,238416150.59724487,230528930.46812184,7887220.129123035,0.0,21658879.623883137,2918913898.194372,7468893.229482416,171234364.64909698,342.472288022196 
 06/23  07:00:00,1800949968.9559508,0.0,0.0,538279852.336432,0.0,717706469.7819098,439999120.8791207,104667536.56139931,296989.3970892531,0.0,289320879.8456455,265708418.8779177,23612460.967727789,0.0,5627093.798259695,2671934559.0421116,20272708.229521406,198767029.55924908,0.0 
 06/23  08:00:00,3782697425.3582317,0.0,0.0,1614839557.0092962,0.0,1614839557.0092962,439999120.8791207,112920276.64997716,98913.81053991402,0.0,88610448.41031406,41180010.78368826,47430437.62662579,0.0,11075962.656766689,3126666398.1746485,37344366.942570228,35523035.171957347,0.0 
 06/23  09:00:00,3863434641.0442888,0.0,8241303.189811963,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,118434598.2083423,104099585.01678658,94980655.99537032,62475658.74184428,7117414.015693299,55358244.72615098,99798584.53579763,10476878.531940852,3321898790.629813,40545427.00176768,6194088.261610161,32629161.857645126 
 06/23  10:00:00,3855757881.336265,0.0,61626309.122030768,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,120797441.69731575,169184296.24153308,142470983.99305547,57365545.11697717,1976209.8017004629,55389335.315276708,715388753.0958036,9273576.282837633,3412254641.0453469,41612408.28966538,1814306.5987955055,311834297.48620578 
 06/23  11:00:00,3917189197.167594,0.0,112849919.49188,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,122640871.01264645,177548572.38768254,142470983.99305547,64281522.84915462,812076.0842007633,63469446.76495385,1227832710.8343945,7196457.686998771,3467754832.027239,50148260.89290456,784340.9942527721,541452405.8431324 
 06/23  12:00:00,3740844749.3609979,0.0,123106364.43940568,1614839557.0092962,0.0,1435412939.5638197,131999736.26373624,114057645.91100796,178957522.18067564,142470983.99305547,73801087.00832026,2159022.4041063014,71642064.60421396,1310387050.573397,2098545.5374091865,3259755208.9223167,60817954.39678795,1977166.897458878,568411101.6860685 
 06/23  13:00:00,3968945746.6991326,0.0,157432100.79793496,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,125805508.28853204,181558303.33727999,142470983.99305547,79517218.73394987,0.0,79517218.73394987,1639252474.392918,428096.6955453856,3547134151.5337588,57616998.798513989,0.0,724302400.591318 
 06/23  14:00:00,4000731878.8492987,0.0,182376171.26543547,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,128500866.18137264,185705007.12710528,142470983.99305547,39506059.396716918,0.0,39506059.396716918,1880272231.5535203,0.0,3620023190.6665556,36277433.240261558,0.0,814612284.3313781 
 06/23  15:00:00,4001146991.12957,0.0,179947781.25749339,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,129383141.4751848,187666234.12150759,142470983.99305547,47390991.30757559,0.0,47390991.30757559,1878559653.2046705,0.0,3648882225.6423509,35210482.4506358,0.0,818965766.9223777 
 06/23  16:00:00,4128432240.459532,0.0,142671899.40392599,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,130503474.38337702,175107384.04519613,142470983.99305547,63405114.80468627,0.0,63405114.80468627,1538285953.740025,0.0,3681320119.753002,46947329.175301458,0.0,713728351.9410634 
 06/23  17:00:00,3673710086.1020796,0.0,116257836.56920262,1255986322.1183415,0.0,1435412939.5638197,439999120.8791207,115902274.16509782,167680608.81344167,142470983.99305547,31537779.03924745,0.0,31537779.03924745,1307422250.7067433,0.0,3337807226.2752335,27741515.499563017,0.0,575864341.3659904 
 06/23  18:00:00,2947565339.0887725,0.0,114421464.89700987,897133087.2273873,0.0,1076559704.672864,439999120.8791207,104667536.56139931,172313440.85793547,142470983.99305547,41686542.46323177,10203131.0093726,31483411.453859174,1270131612.5214997,0.0,2979737098.7397019,22406669.577702363,9117028.572348925,524373272.60759428 
 06/23  19:00:00,2850344242.012536,0.0,102494755.98143077,897133087.2273873,0.0,1076559704.672864,351999296.7032966,104667536.56139931,175018876.87310229,142470983.99305547,74305998.37499596,50726425.12526655,23579573.24972941,1128933381.0737134,0.0,2909250106.066326,16004763.485258572,42087540.86208819,524387874.36268928 
 06/23  20:00:00,2390490435.7898476,0.0,69107492.76965761,538279852.336432,123028800.0,897133087.2273873,351999296.7032966,104667536.56139931,163803386.19861866,142470983.99305547,219424344.771903,195831265.65307505,23593079.118827985,810217097.6254118,0.0,2732755753.5712339,18138712.775012368,149379759.798729,355802977.0109946 
 06/23  21:00:00,2318112894.082773,0.0,28382707.47768463,538279852.336432,184543200.0,897133087.2273873,263999472.52747248,104667536.56139931,158636053.95934183,142470983.99305547,289133107.7302369,281243966.4791976,7889141.251039242,363413398.24985936,0.0,2634042580.4016687,8535875.521647163,207809341.79638673,159219547.4200644 
 06/23  22:00:00,1257684152.6026602,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,8217.02362473134,0.0,7881833.328305957,0.0,7881833.328305957,0.0,0.0,0.0,5334924.147280671,0.0,0.0 
 06/23  23:00:00,1079971020.6690794,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8217.98860665959,0.0,7882142.370895204,0.0,7882142.370895204,0.0,0.0,0.0,5334924.178204735,0.0,0.0 
 06/23  24:00:00,1035971107.8747498,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8217.282189289092,0.0,7881971.9729594499,0.0,7881971.9729594499,0.0,0.0,0.0,5334924.2470395029,0.0,0.0 
 06/24  01:00:00,856544480.6451993,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,0.0,8207.498116565166,0.0,7881761.875132312,0.0,7881761.875132312,0.0,0.0,0.0,5317443.340049752,0.0,0.0 
 06/24  02:00:00,856544481.0232618,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,0.0,8207.876179013932,0.0,7881569.311899795,0.0,7881569.311899795,0.0,0.0,0.0,5317443.331560946,0.0,0.0 
 06/24  03:00:00,856544481.3945315,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,43999912.087912078,0.0,8208.247448611652,0.0,7881382.078187771,0.0,7881382.078187771,0.0,0.0,0.0,5317443.296707866,0.0,0.0 
 06/24  04:00:00,900544393.8543668,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,87999824.17582415,0.0,8208.619371651395,0.0,7881195.760295852,0.0,7881195.760295852,0.0,0.0,0.0,5317443.258720922,0.0,0.0 
 06/24  05:00:00,865520331.953893,0.0,0.0,89713308.72273873,61514400.0,538279852.336432,175999648.3516483,0.0,13122.54307385956,0.0,7889279.411644024,0.0,7889279.411644024,0.0,0.0,0.0,8507909.340964413,0.0,0.0 
 06/24  06:00:00,1364489793.9701977,0.0,0.0,179426617.44547747,0.0,717706469.7819098,351999296.7032966,115053211.75586453,304198.28364970357,0.0,299116589.47544369,283413908.9392718,15702680.536171873,0.0,29621721.99780644,2719392369.1847546,7444420.810889148,204796371.6272666,442.52169052850737 
 06/24  07:00:00,1714459594.046064,0.0,51165214.97680386,179426617.44547747,0.0,717706469.7819098,439999120.8791207,104709919.48222903,138344177.48457403,83108073.99594903,265619424.7740235,249895879.75778956,15723545.016233962,569659469.6384604,12899065.225171164,2604146537.6407086,11698369.663624857,184247413.13039468,240846404.0963235 
 06/24  08:00:00,2851971785.110983,0.0,187063822.12435136,897133087.2273873,0.0,897133087.2273873,439999120.8791207,107230341.96885175,180941341.69083036,142470983.99305547,162560837.0445399,146817708.53626684,15743128.508273073,1828081865.2347136,13308664.806396347,2791493997.635538,15952317.655007862,114900169.65667975,805968983.0049424 
 06/24  09:00:00,2849389660.7796428,0.0,306680020.36199787,897133087.2273873,0.0,897133087.2273873,307999384.6153846,108516918.54474145,189456178.80968876,142470983.99305547,138740250.15920476,107260934.40535717,31479315.753847585,2721061619.4603049,9677291.794048496,2868052713.7927057,22333222.52628284,86248444.47106509,1278301754.5613888 
 06/24  10:00:00,2707206415.6849005,0.0,337030499.5780308,897133087.2273873,0.0,897133087.2273873,131999736.26373624,105893465.7344209,195545555.66088299,142470983.99305547,106677102.60485119,83067753.82251884,23609348.782332325,2812225158.8329164,3847339.908082174,2819749903.768719,20206259.2635338,68196503.3253653,1609216948.4621633 
 06/24  11:00:00,2723637334.0442578,0.0,350426573.5865479,897133087.2273873,0.0,897133087.2273873,131999736.26373624,104667536.56139931,199806329.18474443,142470983.99305547,106879241.8936386,75378433.6767345,31500808.21690408,2822588347.1717135,0.0,2778722154.055793,24460226.21616766,62333559.57975354,1789916318.7110027 
 06/24  12:00:00,2747134262.311106,0.0,368281676.0969525,897133087.2273873,0.0,897133087.2273873,131999736.26373624,104667536.56139931,205448154.9411885,142470983.99305547,85632780.52699179,54161889.584042478,31470890.942949326,2837464163.108066,0.0,2797887060.6473405,21269752.70620449,46009464.17505299,2028943985.7115298 
 06/24  13:00:00,2757965624.6754605,0.0,374451509.6562953,897133087.2273873,0.0,897133087.2273873,131999736.26373624,104667536.56139931,210109683.7461996,142470983.99305547,60294278.89224616,36680776.72950992,23613502.162736235,2842602837.012648,0.0,2810350276.074612,20206260.385785588,32065740.41454935,2159690057.6402599 
 06/24  14:00:00,1848145519.6624828,0.0,357640024.4308295,269139926.168216,0.0,627993161.0591707,131999736.26373624,104667536.56139931,214234151.18607513,142470983.99305547,47542017.411798749,23959327.978206833,23582689.433591907,2828599513.620314,0.0,2759575062.4502785,15952311.98408616,20657198.756046826,2157850497.1201088 
 06/24  15:00:00,1832038357.561347,0.0,339084772.0210676,269139926.168216,0.0,627993161.0591707,131999736.26373624,104667536.56139931,216682241.49470154,142470983.99305547,16836418.965341964,1101886.9246491169,15734532.040692848,2813698521.5150945,0.0,2773473523.4338285,13825352.324949259,1074149.4139385648,2156955646.171458 
 06/24  16:00:00,2017188583.6096178,0.0,341886208.3458129,269139926.168216,0.0,627993161.0591707,307999384.6153846,105698206.23442418,222000713.1935535,142470983.99305547,26548273.49595374,2976875.555125262,23571397.94082848,2815664736.726168,0.0,2798203122.8171656,14888829.161744953,2749666.564714706,2175428058.285391 
 06/24  17:00:00,1882591108.5193382,0.0,334368782.4384958,89713308.72273873,0.0,538279852.336432,439999120.8791207,108535014.61185918,229224045.53763638,142470983.99305547,40243889.28497065,32356342.40005357,7887546.884917079,2810492369.4506547,0.0,2810655886.9999468,7444418.965476992,28481595.04852469,2228161785.647974 
 06/24  18:00:00,1644898619.8165625,0.0,229318507.2059792,89713308.72273873,0.0,538279852.336432,439999120.8791207,73165400.65035194,169943708.42703248,104478721.59490736,7886758.048223488,0.0,7886758.048223488,2050884563.4648548,0.0,1927347220.1393309,7444421.231125376,0.0,1438590020.7389999 
 06/24  19:00:00,1461964467.1388312,0.0,194966978.02817006,89713308.72273873,0.0,538279852.336432,351999296.7032966,66428829.3535658,125595545.99925772,94980655.99537032,15702039.273041072,0.0,15702039.273041072,1855506360.105075,19565.694397632033,1726145592.7772322,7444421.214117205,0.0,1115445928.56786 
 06/24  20:00:00,1103032744.5035797,0.0,0.0,89713308.72273873,123028800.0,538279852.336432,351999296.7032966,0.0,11486.741112255608,0.0,7887101.3082971009,0.0,7887101.3082971009,0.0,0.0,0.0,7444420.287132911,0.0,0.0 
 06/24  21:00:00,1076550608.6793795,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,263999472.52747248,0.0,14775.092736035609,0.0,15711903.522054535,0.0,15711903.522054535,0.0,0.0,0.0,9571395.307503203,0.0,0.0 
 06/24  22:00:00,988544215.8597319,0.0,0.0,89713308.72273873,184543200.0,538279852.336432,175999648.3516483,0.0,8206.448912847707,0.0,72000.0,0.0,72000.0,0.0,0.0,0.0,5317443.306868855,0.0,0.0 
