Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 09/27  07:00:00,4746396175.280914,0.0,925990982.8667879,1605427226.1856087,0.0,1116394962.6977282,293332747.2527466,431475798.81108358,217151893.84518636,134073233.13611795,0.0,22549330.485654609,1318198898.6432157,1100455753.0929578,152946088.94592,64797056.604338038,5170040260.792623,0.0,2017325041.9225996,64421742.94917693,56908194.29107744,876397940.1235511,4190507304.4051606 
 09/27  08:00:00,4990300105.815886,0.0,1006473032.3033284,1605427226.1856087,0.0,1116394962.6977282,439999120.87911996,438926128.73138406,224549845.14544303,134073233.13611795,0.0,24456556.73715487,1271081724.0265077,969532586.2921707,203928118.59456,97621019.13977699,5897885072.854745,0.0,2158430013.315999,78720386.84949568,59539675.76779658,781279317.4793832,4831158035.162441 
 09/27  09:00:00,5131482412.999228,0.0,1030103924.2525007,1605427226.1856087,0.0,1089404771.5169283,586665494.5054932,445384223.99540808,215473823.70904524,134073233.13611795,0.0,24949715.698125166,1153052036.0768922,869475831.8520877,152946088.94592,130630115.27888432,5823775680.039852,0.0,2266231417.119028,89577728.5538044,60198363.99909401,700327854.9967122,4749081310.202964 
 09/27  10:00:00,5187440459.029507,0.0,1053843070.5336567,1605427226.1856087,0.0,1116394962.6977282,586665494.5054932,451126827.00501188,214719699.8644495,134073233.13611795,0.0,25189945.10143993,1202830224.2298227,816584668.024584,254910148.24319998,131335407.96203889,5950467877.660692,0.0,2351154649.8682248,105865994.78690289,60037396.44302039,653011108.3223032,4843385374.817218 
 09/27  11:00:00,5178753135.681501,0.0,1037705342.2937737,1605427226.1856087,0.0,1116394962.6977282,586665494.5054932,456243413.35573926,213405736.38960935,134073233.13611795,0.0,28837727.117430264,1220106775.1624122,806793617.4135966,254910148.24319998,158403009.50561536,5852561902.661651,0.0,2406436928.1067698,111294902.14045477,64683092.38916889,640335000.205328,4759954173.894385 
 09/27  12:00:00,5052655130.634342,0.0,1055995501.0588638,1605427226.1856087,0.0,1116394962.6977282,439999120.87911996,461019867.88137909,214483539.4010387,134073233.13611795,0.0,25261679.39448467,1130603934.3351999,771403590.0095019,254910148.24319998,104290196.08249805,6028275311.605279,0.0,2456767895.183633,96363972.88195695,59653738.601978797,617865690.1562305,4920951363.548711 
 09/27  13:00:00,5216148608.394983,0.0,1091273282.107562,1605427226.1856087,0.0,1089404771.5169283,586665494.5054932,468694475.0011938,214542358.66554118,134073233.13611795,0.0,26067767.276538034,1088195177.5389977,719800736.367187,203928118.59456,164466322.5772506,6276250693.65819,0.0,2541108287.6983015,111294972.89427942,61489035.87692981,572335443.8530276,5136476759.333923 
 09/27  14:00:00,5247906883.788147,0.0,1114032518.1531149,1605427226.1856087,0.0,1089404771.5169283,586665494.5054932,476882701.4910696,215069404.2212162,134073233.13611795,0.0,26351534.578598259,945564369.6610913,661319263.1913915,152946088.94592,131299017.52377989,6462723112.687593,0.0,2629841924.6389696,105865888.77156779,61953436.437653008,527162839.1463857,5294410981.960994 
 09/27  15:00:00,5257304498.472804,0.0,1115053142.8201423,1605427226.1856087,0.0,1089404771.5169283,586665494.5054932,486708135.2325015,213475248.64503984,134073233.13611795,0.0,26497246.43097355,943475040.1425583,608477616.5476383,203928118.59456,131069305.00036001,6490672993.641328,0.0,2728822084.971155,100436905.76109562,61446949.334242898,482595868.29301717,5328358911.082726 
 09/27  16:00:00,5268166241.17454,0.0,1098074471.8937448,1605427226.1856087,0.0,1116394962.6977282,586665494.5054932,493264663.6835322,210658716.25301586,134073233.13611795,0.0,23607472.81929814,1004186668.9811725,600457882.3122197,305892177.89184,97836608.77711268,6419083186.112249,0.0,2785042175.646783,85505235.47595029,53870883.1368316,476462309.9861935,5273122702.433465 
